ID,Time,P,R,F1,Task,Type,order,Ntime,Outlier,Ntime2,Search Oriented,
PV0,863,100.00,100.00,100.00,Enum,Untagged,ITEU,863,no,1121.9,na,
PV1,625,100.00,88.89,94.12,Enum,Tagged,IUET,625,no,812.5,na,
PV2,910,100.00,96.30,98.11,Enum,Untagged,ITEU,910,no,1183,na,
PV3,520,100.00,88.89,94.12,Enum,Tagged,ETIU,520,no,676,na,
PV4,567,100.00,96.30,98.11,Enum,Untagged,EUIT,567,no,737.1,na,
PV5,428,100.00,100.00,100.00,Enum,Tagged,ETIU,428,no,556.4,na,
PG0,930,100.00,81.48,89.80,Enum,Untagged,EUIT,930,no,930,yes,
PG1,482,100.00,25.93,41.18,Enum,Untagged,ITEU,482,no,626.6,na,
PG2,720,100.00,92.59,96.15,Enum,Tagged,ETIU,720,no,936,na,
PG3,540,100.00,92.59,96.15,Enum,Untagged,EUIT,540,no,702,na,
PG4,420,100.00,81.48,89.80,Enum,Tagged,IUET,420,no,546,na,
PG5,360,100.00,100.00,100.00,Enum,Tagged,IUET,360,no,468,na,
PC1,960,100.00,70.37,82.61,Enum,Untagged,ITEU,960,no,960,yes,
PC2,747,100.00,88.89,94.12,Enum,Tagged,ETIU,747,no,971.1,na,
PC3,940,100.00,100.00,100.00,Enum,Untagged,EUIT,940,no,940,yes,
PG7,360,100.00,88.89,94.12,Enum,Tagged,IUET,360,no,468,na,
PV0,430,100.00,86.67,92.86,IncDec,Tagged,ITEU,619,no,430,no,
PV1,1193,97.53,60.00,74.29,IncDec,Untagged,IUET,1193,no,1193,yes,
PV2,831,98.77,73.33,84.17,IncDec,Tagged,ITEU,931,no,931,yes,
PV3,520,100.00,60.00,75.00,IncDec,Untagged,ETIU,605,no,420,no,
PV4,903,93.83,100.00,96.82,IncDec,Tagged,EUIT,903,no,903,yes,
PG0,945,100.00,93.33,96.55,IncDec,Tagged,EUIT,992,no,992,yes,
PG1,835,93.83,100.00,96.82,IncDec,Tagged,ITEU,958,no,665,no,
PG3,300,100.00,93.33,96.55,IncDec,Tagged,EUIT,432,no,300,no,
PG4,920,100.00,93.33,96.55,IncDec,Untagged,IUET,1020,no,1020,yes,
PG5,971,93.83,100.00,96.82,IncDec,Untagged,IUET,900,no,900,yes,
PC0,876,93.83,53.33,68.01,IncDec,Untagged,ETIU,870,no,870,yes,
PC1,346,100.00,93.33,96.55,IncDec,Tagged,ITEU,526,no,365,no,
PC2,552,100.00,80.00,88.89,IncDec,Untagged,ETIU,780,no,542,no,
PC3,930,100.00,100.00,100.00,IncDec,Tagged,EUIT,930,no,930,yes,
PG6,540,98.76,93.33,95.97,IncDec,Untagged,ETIU,778,no,540,no,
PG7,660,97.53,100.00,98.75,IncDec,Untagged,IUET,950,no,660,no,
